x_center,y_center,z_center,i,j,k,Density,Cut,Mo,As,Recu,Dure,Cate,Cate_3,Cate_2,Cate_1,Cate_0,Cate_9999
2910,3330,1958,0,2,7,2.48,0.18,0,0.04,74.67,13.76,3,100,0,0,0,0
2910,3330,1976,0,2,8,2.48,0.12,0,0.07,80.84,12.7,3,100,0,0,0,0
2910,3330,1994,0,2,9,2.48,0.09,0.01,0.04,70.11,-1,0,0,0,0,100,0
2910,3330,2012,0,2,10,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2030,0,2,11,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2048,0,2,12,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2066,0,2,13,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2084,0,2,14,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2102,0,2,15,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2120,0,2,16,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2138,0,2,17,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2156,0,2,18,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2174,0,2,19,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2192,0,2,20,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2210,0,2,21,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2228,0,2,22,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2246,0,2,23,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2264,0,2,24,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3330,2282,0,2,25,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2300,0,2,26,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2318,0,2,27,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2336,0,2,28,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2354,0,2,29,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2372,0,2,30,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2390,0,2,31,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2408,0,2,32,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2426,0,2,33,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2444,0,2,34,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2462,0,2,35,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2480,0,2,36,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2498,0,2,37,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2516,0,2,38,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2534,0,2,39,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2552,0,2,40,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2570,0,2,41,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2588,0,2,42,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2606,0,2,43,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2624,0,2,44,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2642,0,2,45,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2660,0,2,46,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2678,0,2,47,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2696,0,2,48,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2714,0,2,49,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2732,0,2,50,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2750,0,2,51,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2768,0,2,52,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2786,0,2,53,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2804,0,2,54,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2822,0,2,55,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2840,0,2,56,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2858,0,2,57,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2876,0,2,58,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2894,0,2,59,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2912,0,2,60,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2930,0,2,61,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2948,0,2,62,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2966,0,2,63,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,2984,0,2,64,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,3002,0,2,65,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,1832,0,3,0,2.48,0,0,0,79.98,12.7,0,0,0,0,100,0
2910,3350,1850,0,3,1,2.48,0.15,0,0.01,79.98,12.7,0,0,0,0,100,0
2910,3350,1868,0,3,2,2.48,0.11,0,0.01,70.11,-1,0,0,0,0,100,0
2910,3350,1886,0,3,3,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,1904,0,3,4,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,1922,0,3,5,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,1940,0,3,6,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,1958,0,3,7,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,1976,0,3,8,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,1994,0,3,9,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2012,0,3,10,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2030,0,3,11,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2048,0,3,12,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2066,0,3,13,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2084,0,3,14,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2102,0,3,15,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2120,0,3,16,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2138,0,3,17,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2156,0,3,18,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2174,0,3,19,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2192,0,3,20,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2210,0,3,21,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2228,0,3,22,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2246,0,3,23,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2264,0,3,24,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3350,2282,0,3,25,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2300,0,3,26,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2318,0,3,27,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2336,0,3,28,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2354,0,3,29,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2372,0,3,30,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2390,0,3,31,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2408,0,3,32,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2426,0,3,33,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2444,0,3,34,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2462,0,3,35,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2480,0,3,36,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2498,0,3,37,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2516,0,3,38,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2534,0,3,39,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2552,0,3,40,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2570,0,3,41,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2588,0,3,42,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2606,0,3,43,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2624,0,3,44,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2642,0,3,45,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2660,0,3,46,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2678,0,3,47,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2696,0,3,48,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2714,0,3,49,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2732,0,3,50,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2750,0,3,51,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2768,0,3,52,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2786,0,3,53,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2804,0,3,54,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2822,0,3,55,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2840,0,3,56,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2858,0,3,57,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2876,0,3,58,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2894,0,3,59,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2912,0,3,60,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2930,0,3,61,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2948,0,3,62,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2966,0,3,63,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,2984,0,3,64,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3350,3002,0,3,65,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3370,1832,0,4,0,2.71,0,0,0,80.84,12.7,3,100,0,0,0,0
2910,3370,1850,0,4,1,2.71,0.2,0,0.03,80.84,12.7,3,100,0,0,0,0
